uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
iSs7Glb5,30.96,26,4,3,3,3,333,9,Other
VYfdtu2Q,1.98,48,2,1,1,2,121,4,Other
3GuIRe6c,103.94,41,6,1,4,4,144,9,Lost Customers
8SnfYfxo,20.979999999999997,48,2,1,3,2,123,6,Other
Nt5RL1dW,92.88,23,12,4,4,4,444,12,Champions
FmMQcx5f,46.80000000000002,23,20,4,4,4,444,12,Champions
7mNxbqG1,9.98,47,2,1,2,2,122,5,Other
PpGgLJE1,1206.77,25,23,4,4,4,444,12,Champions
YJnugv8V,12.96,32,4,3,2,3,332,8,Other
Unsh3try,8.99,48,1,1,2,1,112,4,Other
8VpQ26XY,129.92,28,8,3,4,4,344,11,Other
u8ts8hJk,8.97,37,3,2,2,3,232,7,Other
KqPtgBMK,16.97,45,3,1,2,3,132,6,Other
c6Oibgyl,16.95,47,5,1,2,4,142,7,Loyal Customers
xjFgt4B5,43.91,29,9,3,4,4,344,11,Other
uVMTvGfW,3.99,48,1,1,1,1,111,3,Lost Cheap Customers
ONtSX4F4,98.97,34,3,2,4,3,234,9,Big Spenders
v8meEwWT,429.89000000000004,22,11,4,4,4,444,12,Champions
euuUHVt1,21.97,25,3,4,3,3,433,10,Recent Customer
LOP8yXUw,6.960000000000001,48,4,1,2,3,132,6,Other
n5kFCSlt,0.99,48,1,1,1,1,111,3,Lost Cheap Customers
TnYF636M,9.98,47,2,1,2,2,122,5,Other
TiHgIHnY,20.96,38,4,2,3,3,233,8,Other
EMYr5DIm,16.99,48,1,1,2,1,112,4,Other
5DFnLEKl,1.98,48,2,1,1,2,121,4,Other
lJK6PUsG,56.96,47,4,1,4,3,134,8,Big Spenders
tbsvLlLC,340.90000000000003,35,10,2,4,4,244,10,Almost Lost
PRhGcNQr,0.99,48,1,1,1,1,111,3,Lost Cheap Customers
iXmgYQnw,64.92,44,8,1,4,4,144,9,Lost Customers
u1yTFK1N,14.96,33,4,2,2,3,232,7,Other
DI3GsmMy,0.99,47,1,1,1,1,111,3,Lost Cheap Customers
kOiLB18j,68.97,28,3,3,4,3,334,10,Big Spenders
TgHLK6LS,21.97,41,3,1,3,3,133,7,Other
dyc3dGhk,20.949999999999996,34,5,2,3,4,243,9,Loyal Customers
2ugXOg61,10.95,32,5,3,2,4,342,9,Loyal Customers
P4yINiIg,233.94,29,6,3,4,4,344,11,Other
E8BOvT5w,10.97,33,3,2,2,3,232,7,Other
boI7Tl2g,3.99,47,1,1,1,1,111,3,Lost Cheap Customers
MlelisBJ,22.96,47,4,1,3,3,133,7,Other
cXfo7NQb,152.90000000000003,28,10,3,4,4,344,11,Other
6Lgokx6q,291.84000000000003,38,16,2,4,4,244,10,Almost Lost
tHH6TWnr,14.940000000000001,44,6,1,2,4,142,7,Loyal Customers
nogCbrKY,1.98,46,2,1,1,2,121,4,Other
wg55PdGR,0.99,47,1,1,1,1,111,3,Lost Cheap Customers
hxVPK11o,8.99,47,1,1,2,1,112,4,Other
Cffh55WE,86.97,45,3,1,4,3,134,8,Big Spenders
WbdieHDI,3.99,47,1,1,1,1,111,3,Lost Cheap Customers
GRbPvgkB,35.96,45,4,1,3,3,133,7,Other
KEwb8dMj,0.99,47,1,1,1,1,111,3,Lost Cheap Customers
d55HJ8Hj,3.99,47,1,1,1,1,111,3,Lost Cheap Customers
k6FxB2fO,51.980000000000004,47,2,1,4,2,124,7,Big Spenders
LSgwiHmh,177.85999999999996,27,14,3,4,4,344,11,Other
mg7Fb17C,40.85,24,15,4,4,4,444,12,Champions
5q8fklyL,30.940000000000005,40,6,2,3,4,243,9,Loyal Customers
m8dB5vRN,24.97,33,3,2,3,3,233,8,Other
yUr1VtdT,65.92999999999999,25,7,4,4,4,444,12,Champions
B32nKfnb,20.979999999999997,42,2,1,3,2,123,6,Other
BsnfdIKs,42.93000000000001,33,7,2,4,4,244,10,Almost Lost
5Q2PJhGb,2.9699999999999998,33,3,2,1,3,231,6,Other
1iTr5x4O,10.97,46,3,1,2,3,132,6,Other
OveFdgnM,38.980000000000004,44,2,1,4,2,124,7,Big Spenders
rxylnMXc,43.92000000000001,37,8,2,4,4,244,10,Almost Lost
FbQHQKBH,31.949999999999996,41,5,1,3,4,143,8,Loyal Customers
2bIf3SKQ,17.98,41,2,1,3,2,123,6,Other
csqrQdvb,4.98,46,2,1,1,2,121,4,Other
skIn5SjO,7.98,46,2,1,2,2,122,5,Other
22JCVIFk,26.95,41,5,1,3,4,143,8,Loyal Customers
d8I5RTxG,166.78000000000003,34,22,2,4,4,244,10,Almost Lost
dYnU5jGF,160.68,27,32,3,4,4,344,11,Other
sdb2fI7f,74.96,46,4,1,4,3,134,8,Big Spenders
KnV2FYtf,368.91,35,9,2,4,4,244,10,Almost Lost
8uldEIy3,128.90999999999997,34,9,2,4,4,244,10,Almost Lost
pKEhj6vl,25.979999999999997,42,2,1,3,2,123,6,Other
jT4Bewio,16.99,46,1,1,2,1,112,4,Other
bD3DdfgK,11.940000000000001,36,6,2,2,4,242,8,Loyal Customers
6UT3n5v4,12.98,26,2,3,2,2,322,7,Other
Bqmb7dyp,24.950000000000003,37,5,2,3,4,243,9,Loyal Customers
ncOpObjM,95.9,34,10,2,4,4,244,10,Almost Lost
2EdPNPyl,25.979999999999997,43,2,1,3,2,123,6,Other
QKK1xSIM,96.88999999999999,32,11,3,4,4,344,11,Other
BftNExsI,16.94,26,6,3,2,4,342,9,Loyal Customers
Md5MpOxP,16.99,46,1,1,2,1,112,4,Other
dPTUfLMw,14.96,33,4,2,2,3,232,7,Other
